City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
113,Constitucion,-35.3333,-72.4167,52.03,66,100,5.17,CL,2021-06-07 01:38:39
114,Ambilobe,-13.2,49.05,68.59,93,69,3.22,MG,2021-06-07 01:38:39
115,Padang,-0.9492,100.3543,82.89,63,19,0.6,ID,2021-06-07 01:38:39
116,Longyearbyen,78.2186,15.6401,35.44,80,0,5.75,SJ,2021-06-07 01:38:40
117,Staryy Nadym,65.6118,72.6842,41.07,58,21,9.66,RU,2021-06-07 01:38:40
118,Sechura,-5.5569,-80.8222,69.31,77,100,13.29,PE,2021-06-07 01:38:40
119,Ust-Kuyga,70.0167,135.6,56.23,38,99,8.79,RU,2021-06-07 01:38:41
120,Ivanishchi,55.7742,40.4273,54.88,96,89,3.8,RU,2021-06-07 01:38:41
121,Tuatapere,-46.1333,167.6833,49.82,70,4,4.16,NZ,2021-06-07 01:38:41
122,Portland,45.5234,-122.6762,61.27,76,90,3.0,US,2021-06-07 01:38:42
123,Havoysund,70.9963,24.6622,47.28,63,7,8.7,NO,2021-06-07 01:38:42
124,Mogadishu,2.0371,45.3438,78.66,86,66,19.19,SO,2021-06-07 01:38:42
125,Aklavik,68.2191,-135.0107,48.92,37,12,9.01,CA,2021-06-07 01:38:43
126,Kahului,20.8947,-156.47,86.02,65,40,23.02,US,2021-06-07 01:38:43
127,Bulgan,48.8125,103.5347,37.87,97,100,7.43,MN,2021-06-07 01:38:43
128,Saint-Francois,46.4154,3.9054,60.48,92,90,4.61,FR,2021-06-07 01:38:44
129,Saskylakh,71.9167,114.0833,42.66,47,100,7.05,RU,2021-06-07 01:38:44
130,Rorvik,64.8621,11.2373,53.19,97,100,8.48,NO,2021-06-07 01:38:44
131,Lobamba,-26.4667,31.2,46.06,88,2,4.83,SZ,2021-06-07 01:38:44
132,Lebu,-37.6167,-73.65,47.19,83,96,6.87,CL,2021-06-07 01:38:45
133,Salalah,17.0151,54.0924,84.29,89,75,4.61,OM,2021-06-07 01:38:45
134,Necochea,-38.5473,-58.7368,45.03,59,100,9.06,AR,2021-06-07 01:38:45
135,Guerrero Negro,27.9769,-114.0611,63.88,74,83,16.42,MX,2021-06-07 01:38:46
136,Iqaluit,63.7506,-68.5145,33.53,86,75,5.99,CA,2021-06-07 01:38:46
137,Kapaa,22.0752,-159.319,84.18,67,20,4.0,US,2021-06-07 01:37:53
138,Yellowknife,62.456,-114.3525,48.72,57,75,7.0,CA,2021-06-07 01:38:46
139,Tuktoyaktuk,69.4541,-133.0374,37.4,70,75,14.97,CA,2021-06-07 01:38:46
140,Bengkulu,-3.8004,102.2655,80.2,76,28,1.72,ID,2021-06-07 01:38:47
141,Kavieng,-2.5744,150.7967,83.77,69,12,5.46,PG,2021-06-07 01:38:47
142,Dudinka,69.4058,86.1778,33.06,89,98,7.52,RU,2021-06-07 01:38:47
143,Sao Joao Da Barra,-21.6403,-41.0511,73.44,87,100,12.5,BR,2021-06-07 01:38:48
144,Booue,-0.0921,11.9385,72.41,97,100,1.1,GA,2021-06-07 01:38:48
145,Marawi,7.9986,124.2928,77.65,58,41,1.95,PH,2021-06-07 01:38:48
146,Narsaq,60.9167,-46.05,53.82,76,100,2.51,GL,2021-06-07 01:38:48
147,Oneonta,42.4529,-75.0638,76.51,70,14,3.4,US,2021-06-07 01:38:49
148,Trairi,-3.2778,-39.2689,76.14,87,8,6.2,BR,2021-06-07 01:36:02
149,East London,-33.0153,27.9116,62.6,39,0,10.71,ZA,2021-06-07 01:38:49
150,Mehamn,71.0357,27.8492,41.23,65,1,4.47,NO,2021-06-07 01:38:49
151,Talnakh,69.4865,88.3972,32.0,95,100,5.93,RU,2021-06-07 01:38:50
152,Mindelo,16.8901,-24.9804,72.95,78,20,24.0,CV,2021-06-07 01:38:50
153,Verkhoyansk,67.5447,133.385,58.03,31,100,7.34,RU,2021-06-07 01:38:50
154,Saldanha,-33.0117,17.9442,69.85,37,1,27.89,ZA,2021-06-07 01:38:51
155,Najran,17.4924,44.1277,75.85,35,49,8.03,SA,2021-06-07 01:38:51
156,Ohara,35.25,140.3833,73.69,80,100,0.43,JP,2021-06-07 01:38:51
157,Gander,48.9682,-54.5906,39.33,80,75,4.0,CA,2021-06-07 01:38:51
158,Nome,64.5011,-165.4064,36.16,86,90,10.36,US,2021-06-07 01:38:52
159,Yumen,40.2833,97.2,65.5,12,66,12.82,CN,2021-06-07 01:38:52
160,Vardo,70.3705,31.1107,39.22,72,6,4.85,NO,2021-06-07 01:38:52
161,Stornoway,58.2093,-6.3865,49.96,93,100,9.22,GB,2021-06-07 01:38:52
162,Aykhal,66.0,111.5,40.21,90,53,27.94,RU,2021-06-07 01:38:53
163,Chuy,-33.6971,-53.4616,50.25,79,8,6.51,UY,2021-06-07 01:38:53
164,Upernavik,72.7868,-56.1549,35.8,83,21,4.65,GL,2021-06-07 01:38:53
165,Kloulklubed,7.0419,134.2556,75.7,77,100,9.08,PW,2021-06-07 01:38:54
166,Pisco,-13.7,-76.2167,63.01,88,20,3.44,PE,2021-06-07 01:38:54
167,Itupiranga,-5.1347,-49.3267,77.85,73,57,2.01,BR,2021-06-07 01:38:54
168,Fortuna,40.5982,-124.1573,66.18,63,1,7.0,US,2021-06-07 01:38:55
169,Pemba,-12.974,40.5178,66.9,82,20,9.22,MZ,2021-06-07 01:38:55
170,Sangar,63.9242,127.4739,44.64,92,100,5.12,RU,2021-06-07 01:38:55
171,Namtsy,62.7161,129.6658,64.51,68,99,10.87,RU,2021-06-07 01:38:56
172,Richards Bay,-28.783,32.0377,57.24,80,0,7.63,ZA,2021-06-07 01:37:31
173,Tura,25.5198,90.2201,77.92,88,46,5.44,IN,2021-06-07 01:38:56
174,Bethel,41.3712,-73.414,79.68,72,74,1.01,US,2021-06-07 01:38:56
175,Calama,-22.4667,-68.9333,41.49,15,0,16.11,CL,2021-06-07 01:37:45
176,Yining,29.0361,114.5636,85.53,53,60,0.25,CN,2021-06-07 01:38:57
177,Tarakan,3.3,117.6333,83.7,84,40,2.3,ID,2021-06-07 01:38:57
178,Edson,53.5835,-116.4356,57.34,47,1,5.75,CA,2021-06-07 01:36:40
179,Bathsheba,13.2167,-59.5167,81.21,69,40,19.84,BB,2021-06-07 01:38:49
180,Buala,-8.145,159.5921,84.58,72,60,8.81,SB,2021-06-07 01:38:57
181,Umm Lajj,25.0213,37.2685,81.77,51,0,10.36,SA,2021-06-07 01:38:58
182,Virginia Beach,36.8529,-75.978,83.01,81,20,5.75,US,2021-06-07 01:37:42
183,Ilulissat,69.2167,-51.1,37.42,87,0,2.3,GL,2021-06-07 01:38:58
184,Vanimo,-2.6741,141.3028,82.87,77,72,8.39,PG,2021-06-07 01:38:58
185,Beloit,42.5084,-89.0318,84.29,45,75,8.21,US,2021-06-07 01:38:59
186,Torbay,47.6666,-52.7314,40.28,93,90,9.22,CA,2021-06-07 01:38:59
187,Naze,28.3667,129.4833,76.12,93,100,6.82,JP,2021-06-07 01:38:59
188,Lagoa,39.05,-27.9833,63.52,88,100,13.04,PT,2021-06-07 01:38:59
189,Sisimiut,66.9395,-53.6735,41.04,88,100,1.74,GL,2021-06-07 01:39:00
190,Teya,60.3778,92.6267,47.48,92,100,8.86,RU,2021-06-07 01:39:00
191,Kruisfontein,-34.0033,24.7314,54.7,27,0,8.25,ZA,2021-06-07 01:39:01
192,Paracatu,-17.2222,-46.8747,67.6,62,100,1.34,BR,2021-06-07 01:39:02
193,Lubao,14.9167,120.55,91.11,59,76,4.79,PH,2021-06-07 01:39:02
194,Bilibino,68.0546,166.4372,70.29,35,6,13.87,RU,2021-06-07 01:39:02
195,Atasu,48.6814,71.6433,63.25,34,100,12.66,KZ,2021-06-07 01:39:03
196,Nouadhibou,20.931,-17.0347,67.98,77,100,18.41,MR,2021-06-07 01:39:03
197,Tessalit,20.1986,1.0114,91.15,11,0,7.58,ML,2021-06-07 01:39:03
198,Carnarvon,-24.8667,113.6333,64.47,63,100,11.5,AU,2021-06-07 01:39:04
199,Pa Daet,19.5049,99.9924,81.16,87,100,3.36,TH,2021-06-07 01:39:04
200,Faya,18.3851,42.4509,66.31,44,9,2.39,SA,2021-06-07 01:39:04
201,Tucuman,-26.8241,-65.2226,57.2,72,96,1.81,AR,2021-06-07 01:39:05
202,Ziarat,30.3823,67.7282,69.1,43,0,4.03,PK,2021-06-07 01:39:05
203,Haines Junction,60.7522,-137.5108,53.55,62,100,5.75,CA,2021-06-07 01:39:05
204,Aracati,-4.5617,-37.7697,77.54,82,68,9.35,BR,2021-06-07 01:38:23
205,Paamiut,61.994,-49.6678,38.03,97,100,4.25,GL,2021-06-07 01:39:06
206,Progreso,21.2833,-89.6667,91.51,66,100,12.64,MX,2021-06-07 01:39:06
207,Avera,33.194,-82.5271,75.25,94,100,8.95,US,2021-06-07 01:37:43
208,Port Hedland,-20.3167,118.5667,80.65,24,75,18.41,AU,2021-06-07 01:39:07
209,Riyadh,24.6877,46.7219,89.74,17,0,0.0,SA,2021-06-07 01:38:50
210,Van,38.4924,43.3831,51.15,62,0,4.61,TR,2021-06-07 01:39:07
211,Grand Gaube,-20.0064,57.6608,73.8,84,11,3.0,MU,2021-06-07 01:39:07
212,Luang Prabang,19.8856,102.1347,80.56,78,75,0.0,LA,2021-06-07 01:39:08
213,Clyde River,70.4692,-68.5914,34.03,93,90,17.27,CA,2021-06-07 01:39:08
214,Dunedin,-45.8742,170.5036,54.81,63,73,8.99,NZ,2021-06-07 01:37:17
215,Nanortalik,60.1432,-45.2371,42.82,76,100,11.23,GL,2021-06-07 01:39:08
216,Menongue,-14.6585,17.691,47.62,66,13,5.17,AO,2021-06-07 01:39:09
217,Agadez,19.75,10.25,90.0,13,100,17.69,NE,2021-06-07 01:39:09
218,Port-Gentil,-0.7193,8.7815,78.33,87,100,9.19,GA,2021-06-07 01:39:09
219,Saint-Joseph,-21.3667,55.6167,70.18,84,96,16.64,RE,2021-06-07 01:39:10
220,Te Anau,-45.4167,167.7167,47.62,76,1,0.76,NZ,2021-06-07 01:39:10
221,Amarillo,35.222,-101.8313,84.61,61,1,8.01,US,2021-06-07 01:39:10
222,Dymer,50.7865,30.3026,57.96,94,72,6.98,UA,2021-06-07 01:39:11
223,Gizo,-8.103,156.8419,84.47,69,53,3.98,SB,2021-06-07 01:39:11
224,Acapulco,16.8634,-99.8901,85.82,74,75,8.03,MX,2021-06-07 01:38:40
225,Mithi,24.7318,69.7981,84.65,70,0,16.75,PK,2021-06-07 01:39:11
226,San Patricio,28.017,-97.5169,84.92,88,2,14.0,US,2021-06-07 01:39:12
227,Saint George,37.1041,-113.5841,99.19,9,1,3.0,US,2021-06-07 01:39:12
228,Korla,41.7597,86.1469,77.16,29,49,8.77,CN,2021-06-07 01:39:12
229,Ketchikan,55.3422,-131.6461,55.38,76,75,11.5,US,2021-06-07 01:39:13
230,Kasongo-Lunda,-6.4667,16.8167,66.36,50,9,0.02,CD,2021-06-07 01:39:13
231,Abnub,27.2696,31.1511,71.82,46,91,12.28,EG,2021-06-07 01:39:13
232,Harper,4.375,-7.7169,78.19,86,100,10.13,LR,2021-06-07 01:39:14
233,Thompson,55.7435,-97.8558,57.36,88,90,6.91,CA,2021-06-07 01:39:14
234,Mutoko,-17.397,32.2268,43.52,91,67,4.18,ZW,2021-06-07 01:34:14
235,Andapa,-14.65,49.65,65.41,98,100,2.57,MG,2021-06-07 01:39:14
236,Barcelos,41.5388,-8.6151,62.92,87,21,1.36,PT,2021-06-07 01:39:15
237,Lufilufi,-13.8745,-171.5986,89.38,73,21,2.8,WS,2021-06-07 01:39:15
238,Caravelas,-17.7125,-39.2481,72.46,84,40,4.61,BR,2021-06-07 01:39:15
