City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
370,Am Timan,TD,81.5,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
376,Pasighat,IN,78.6,overcast clouds,28.0667,95.3333,Siang Guest House
379,Morant Bay,JM,82.02,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
381,Sungaipenuh,ID,80.24,broken clouds,-2.0833,101.3833,Hotel Jaya Wisata 2
382,Tuxtepec,MX,79.59,broken clouds,18.1,-96.1167,Hotel Tuxtepec
384,Meulaboh,ID,84.25,overcast clouds,4.1363,96.1285,Kost Pria
387,Tautira,PF,80.62,clear sky,-17.7333,-149.15,Pension Oaoa
390,Axim,GH,77.58,moderate rain,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
392,Laguna,US,76.82,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
394,Kralendijk,BQ,80.58,few clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
396,Souillac,MU,77.36,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
398,Dingle,PH,88.03,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
401,Garowe,SO,81.14,clear sky,8.4054,48.4845,Curubo Hotel
404,Knysna,ZA,75.58,clear sky,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
406,Funadhoo,MV,82.24,overcast clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
409,San Andres,CO,82.42,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
416,Ixtapa,MX,81.23,clear sky,20.7,-105.2,Hotel Plaza Providencia
421,Kupang,ID,86.34,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
422,Saint Anthony,US,82.54,clear sky,45.0205,-93.21799999999999,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
424,Clinton,US,80.06,clear sky,42.586999999999996,-82.9199,Hampton Inn Detroit/Roseville
425,Ahuimanu,US,82.11,light rain,21.4447,-157.8378,Paradise Bay Resort
429,Kamaishi,JP,81.55,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
437,Mahebourg,MU,77.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
438,Ginda,IN,81.25,clear sky,30.6945,78.4932,Bal uma sankar hotel and restaurant
442,Pochutla,MX,76.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
444,Porto Velho,BR,75.25,few clouds,-8.7619,-63.9039,Hotel Central
445,Waingapu,ID,85.86,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
446,Puerto Carreno,CO,75.36,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
447,Luganville,VU,76.98,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
449,Naze,JP,77.92,heavy intensity rain,28.3667,129.4833,奄美ポートタワーホテル
451,Porto Novo,BJ,80.42,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
455,Cap Malheureux,MU,77.47,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
459,Gizo,SB,84.56,broken clouds,-8.103,156.8419,Imagination Island
462,Vanimo,PG,81.37,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
463,Guangyuan,CN,87.91,overcast clouds,32.442,105.823,Guangyuan Poetry Hotel
469,Marawi,PH,81.41,broken clouds,7.9986,124.2928,Derogongan Residence
473,Daru,PG,78.51,overcast clouds,-9.0763,143.2092,Daru Lodge
474,Vung Tau,VN,87.69,overcast clouds,10.345999999999998,107.0843,Green hotel
475,Kendari,ID,85.68,broken clouds,-3.945,122.4989,Hotel Wixel
477,Labuhan,ID,88.05,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
478,Mashhad,IR,82.54,clear sky,36.297,59.6062,Khanye Sabz Hotel
481,Baganga,PH,81.88,broken clouds,7.5739,126.56,Baganga Rgd Inn
482,Sassandra,CI,76.46,light rain,4.95,-6.0833,la terrasse
490,Buraydah,SA,88.25,few clouds,26.326,43.975,فندق راحة السلام
491,Shache,CN,89.98,overcast clouds,38.4167,77.2406,Delong Hotel
496,Palu,ID,83.64,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
497,Matara,LK,85.08,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
498,Bairiki,KI,84.2,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
503,Atar,MR,87.01,clear sky,20.5169,-13.0499,Oumou Elghoura
505,Hobyo,SO,81.19,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
506,Torbat-E Jam,IR,86.02,clear sky,35.244,60.6225,White building
509,Palauig,PH,86.65,overcast clouds,15.435,119.9045,Myhousebythesea
519,Jennings,US,76.14,clear sky,38.7192,-90.2604,First Western Inn
524,Iquitos,PE,77.04,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
525,Freeport,US,82.38,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
527,Kutum,SD,78.01,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
528,Biltine,TD,85.42,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
530,Goderich,CA,75.52,broken clouds,43.7501,-81.7165,Harmony Inn
532,Zhangye,CN,77.29,scattered clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
533,Mayo,US,80.38,clear sky,38.8876,-76.5119,Resorts Resource Group International
534,Yanji,CN,76.3,clear sky,42.9075,129.5078,Holiday Inn Changbaishan Suites
538,Baruun-Urt,MN,79.97,broken clouds,46.6806,113.2792,Ахмадын амралт сувилал
545,Aswan,EG,84.24,clear sky,24.0934,32.907,Nuba Nile
546,Mecca,SA,89.53,few clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
548,Jacmel,HT,80.44,scattered clouds,18.2342,-72.5347,Hotel Florita
549,Qostanay,KZ,77.29,clear sky,53.1667,63.5833,Hotel Fessla
552,Itoman,JP,86.38,light rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
553,Praia,CV,77.54,clear sky,14.9215,-23.5087,LT Aparthotel
554,Erenhot,CN,83.68,broken clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
563,Jiaxing,CN,87.82,overcast clouds,30.7522,120.75,Jiaxing Sunny Hotel
565,Samarai,PG,77.0,overcast clouds,-10.6167,150.6667,Nuli Sapi
566,Corinto,GR,75.69,few clouds,37.9407,22.9573,Ephira Hotel
571,Koupela,BF,82.02,overcast clouds,12.1794,-0.3517,AUBERGE MAQUIS RESTO CAFE LE ROUTIER PLUS
572,Gazanjyk,TM,79.93,clear sky,39.2446,55.5154,Railway motel
575,Namuac,PH,84.33,overcast clouds,18.6109,121.1657,Mlin Hotel
578,Genhe,CN,80.4,few clouds,50.7833,121.5167,Companionship Hotel
588,Shingu,JP,79.79,overcast clouds,33.7333,135.9833,Shingu UI Hotel
590,Kununurra,AU,87.78,few clouds,-15.7667,128.7333,Hotel Kununurra
591,Honiara,SB,84.02,scattered clouds,-9.4333,159.95,Heritage Park Hotel
604,Jijiang,CN,86.59,moderate rain,29.2906,106.2542,Chongqing Jiangjin Hotel
610,Hirado,JP,79.95,overcast clouds,33.3597,129.5531,Samson Hotel
615,Mauriti,BR,75.51,broken clouds,-7.3892,-38.7744,Hotel Pedra da Letra
620,Luanda,AO,77.0,broken clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
622,Khorramabad,IR,80.69,clear sky,33.4878,48.3558,Azadi Hotel
631,Bucerias,MX,81.99,clear sky,20.75,-105.3333,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
634,Tecoanapa,MX,82.85,overcast clouds,16.5167,-98.75,Hotel Manglares
635,Kolhapur,IN,82.17,scattered clouds,16.7,74.2167,Hotel Ranjeet
639,Abu Zabad,SD,81.95,overcast clouds,12.35,29.25,حامد محمد نور
640,Wajir,KE,75.16,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
641,Guhagar,IN,86.5,broken clouds,17.4842,73.1929,Hotel Seawinds
649,Dossor,KZ,78.13,few clouds,47.5272,52.9811,"Gostinitsa Orpk ""Nauryz"""
650,Semirom,IR,75.2,clear sky,31.4167,51.5667,Motel Dena
654,Sakakah,SA,81.97,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
658,Road Town,VG,80.69,overcast clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
665,Charleston,US,79.02,mist,32.7766,-79.9309,The Mills House Wyndham Grand Hotel
668,Dali,CN,77.65,broken clouds,25.7,100.1833,Dali Travelling With Hostel
672,Srisailam,IN,87.71,scattered clouds,16.0833,78.8667,Vasavi Satram
675,Sola,VU,80.11,broken clouds,-13.8833,167.55,Leumerus Bungalows
684,Champerico,GT,83.35,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
688,Port-Gentil,GA,77.85,light rain,-0.7193,8.7815,Fengshui Residence
689,Fort Myers Beach,US,81.0,clear sky,26.451999999999998,-81.9481,Lani Kai Island Resort
