City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
85,Atuona,PF,-9.8,-139.0333,79.81,68,5,11.03,clear sky,2021-06-07 04:47:01
86,Vila Velha,BR,-20.3297,-40.2925,69.94,97,0,1.99,clear sky,2021-06-07 04:47:03
87,Hasaki,JP,35.7333,140.8333,84.29,71,100,3.0,overcast clouds,2021-06-07 04:47:03
88,Bulawayo,ZW,-20.15,28.5833,48.16,84,51,13.38,broken clouds,2021-06-07 04:47:04
89,Maramba,TZ,-5.05,38.6167,64.18,81,93,5.17,overcast clouds,2021-06-07 04:47:04
90,Hithadhoo,MV,-0.6,73.0833,83.32,72,22,12.82,few clouds,2021-06-07 04:47:04
91,Soligalich,RU,59.0778,42.2864,68.54,54,50,3.53,scattered clouds,2021-06-07 04:47:05
92,Baie-Comeau,CA,49.2168,-68.1489,59.0,93,1,2.53,clear sky,2021-06-07 04:47:05
93,Mbala,ZM,-8.8402,31.3659,53.82,86,49,10.09,scattered clouds,2021-06-07 04:47:06
94,Marzuq,YE,14.4,46.4667,86.4,24,59,5.66,broken clouds,2021-06-07 04:47:06
95,Bhatkal,IN,13.9667,74.5667,82.81,76,93,4.76,overcast clouds,2021-06-07 04:47:06
96,Charthawal,IN,29.55,77.5833,101.89,22,0,5.06,clear sky,2021-06-07 04:47:07
97,Pevek,RU,69.7008,170.3133,52.11,58,3,16.26,clear sky,2021-06-07 04:47:07
98,Codrington,AU,-38.2667,141.9667,65.62,46,100,23.4,overcast clouds,2021-06-07 04:47:07
99,Jining,CN,35.405,116.5814,99.68,14,100,16.75,overcast clouds,2021-06-07 04:47:08
100,Abnub,EG,27.2696,31.1511,68.22,45,78,13.27,broken clouds,2021-06-07 04:47:08
101,Buloh Kasap,MY,2.5536,102.764,85.91,50,57,5.5,broken clouds,2021-06-07 04:47:08
102,Bagdarin,RU,54.4333,113.6,59.99,52,100,7.38,overcast clouds,2021-06-07 04:47:09
103,Mana,GF,5.6592,-53.7767,75.24,90,100,3.33,overcast clouds,2021-06-07 04:47:09
104,Maromitsa,RU,59.8683,48.0123,60.89,81,77,8.25,broken clouds,2021-06-07 04:47:09
105,Broken Hill,AU,-31.95,141.4333,62.31,39,72,18.41,broken clouds,2021-06-07 04:47:10
106,Bethel,US,41.3712,-73.414,75.99,77,20,0.0,few clouds,2021-06-07 04:45:25
107,Mansa,IN,29.9833,75.3833,105.31,18,8,8.14,clear sky,2021-06-07 04:47:10
108,Avarua,CK,-21.2078,-159.775,71.65,78,93,2.3,overcast clouds,2021-06-07 04:44:23
109,Port Victoria,KE,0.0939,33.9756,66.56,82,25,7.43,scattered clouds,2021-06-07 04:47:11
110,Kirakira,SB,-10.4544,161.9205,82.04,79,37,6.91,scattered clouds,2021-06-07 04:47:11
111,Cidreira,BR,-30.1811,-50.2056,62.13,78,82,12.8,broken clouds,2021-06-07 04:46:31
112,Chifeng,CN,42.2683,118.9636,68.88,61,100,10.22,overcast clouds,2021-06-07 04:47:11
113,Gallup,US,35.5281,-108.7426,75.04,17,1,3.0,clear sky,2021-06-07 04:47:12
114,Clyde River,CA,70.4692,-68.5914,35.83,87,90,16.11,overcast clouds,2021-06-07 04:47:12
115,Casper,US,42.8666,-106.3131,73.72,31,1,1.99,clear sky,2021-06-07 04:47:12
116,Fairbanks,US,64.8378,-147.7164,70.14,43,1,5.75,clear sky,2021-06-07 04:47:13
117,Hamilton,US,39.1834,-84.5333,72.43,92,1,5.37,clear sky,2021-06-07 04:46:01
118,Lavrentiya,RU,65.5833,-171.0,34.47,86,87,6.08,overcast clouds,2021-06-07 04:47:13
119,Sibolga,ID,1.7427,98.7792,85.69,61,28,5.5,scattered clouds,2021-06-07 04:47:13
120,Moose Factory,CA,51.2585,-80.6094,78.8,65,40,11.5,scattered clouds,2021-06-07 04:47:14
121,Cayeli,TR,41.0923,40.7292,66.45,55,0,3.47,clear sky,2021-06-07 04:47:14
122,Portland,US,45.5234,-122.6762,55.98,66,38,1.99,scattered clouds,2021-06-07 04:44:27
123,Tuatapere,NZ,-46.1333,167.6833,49.82,87,7,3.38,clear sky,2021-06-07 04:47:14
124,Kikwit,CD,-5.041,18.8162,66.65,97,25,0.65,scattered clouds,2021-06-07 04:47:15
125,Ribeira Grande,PT,38.5167,-28.7,64.98,92,100,9.66,overcast clouds,2021-06-07 04:47:15
126,Pangnirtung,CA,66.1451,-65.7125,30.09,88,97,3.98,overcast clouds,2021-06-07 04:47:15
127,Havre-Saint-Pierre,CA,50.2334,-63.5986,43.16,87,75,0.0,broken clouds,2021-06-07 04:47:16
128,Antofagasta,CL,-23.65,-70.4,56.48,70,52,5.91,broken clouds,2021-06-07 04:42:21
129,Springfield,US,37.2153,-93.2982,69.98,95,1,4.0,clear sky,2021-06-07 04:46:17
130,Fukue,JP,32.6881,128.8419,79.16,78,20,5.75,few clouds,2021-06-07 04:47:16
131,Bashtanka,UA,47.4072,32.4387,60.48,71,71,6.62,broken clouds,2021-06-07 04:47:16
132,Bolotnoye,RU,55.6717,84.3981,68.04,61,24,11.39,few clouds,2021-06-07 04:47:17
133,Mnogovershinnyy,RU,53.9353,139.9242,47.46,73,83,8.12,broken clouds,2021-06-07 04:47:17
134,Cayenne,GF,4.9333,-52.3333,78.1,87,90,1.81,overcast clouds,2021-06-07 04:47:17
135,East London,ZA,-33.0153,27.9116,63.54,36,0,8.05,clear sky,2021-06-07 04:47:01
136,Lorengau,PG,-2.0226,147.2712,83.07,72,40,0.67,scattered clouds,2021-06-07 04:47:18
137,Opuwo,NA,-18.0607,13.84,52.88,55,2,6.93,clear sky,2021-06-07 04:47:18
138,Cherskiy,RU,68.75,161.3,64.9,44,86,27.92,overcast clouds,2021-06-07 04:47:15
139,Mar Del Plata,AR,-38.0023,-57.5575,51.13,69,0,8.99,clear sky,2021-06-07 04:43:39
140,Dunedin,NZ,-45.8742,170.5036,50.81,78,66,15.99,broken clouds,2021-06-07 04:47:18
141,Sadovoye,RU,47.7764,44.5089,67.19,65,97,8.32,overcast clouds,2021-06-07 04:47:19
142,Morondava,MG,-20.2833,44.2833,72.73,50,6,13.94,clear sky,2021-06-07 04:47:19
143,Muisne,EC,0.6,-80.0333,75.13,90,100,11.61,moderate rain,2021-06-07 04:47:19
144,Prince George,CA,53.9166,-122.753,51.26,68,20,1.01,few clouds,2021-06-07 04:45:05
145,Kapaa,US,22.0752,-159.319,84.18,71,40,1.99,light rain,2021-06-07 04:46:35
146,Pisco,PE,-13.7,-76.2167,62.65,88,90,1.14,overcast clouds,2021-06-07 04:47:20
147,The Valley,AI,18.217,-63.0578,80.46,77,100,17.83,overcast clouds,2021-06-07 04:47:20
148,Hofn,IS,64.2539,-15.2082,46.98,99,100,14.25,light rain,2021-06-07 04:47:20
149,Saint Andrews,US,34.0454,-81.1293,74.98,93,40,3.76,scattered clouds,2021-06-07 04:47:20
150,Katsuura,JP,35.1333,140.3,77.04,75,99,1.21,overcast clouds,2021-06-07 04:47:21
151,Gayeri,BF,12.6497,0.4931,83.7,55,87,11.05,overcast clouds,2021-06-07 04:47:21
152,Alofi,NU,-19.0595,-169.9187,78.69,69,8,5.75,clear sky,2021-06-07 04:47:21
153,San Luis,AR,-33.295,-66.3356,48.38,54,97,5.17,overcast clouds,2021-06-07 04:47:21
154,Roebourne,AU,-20.7833,117.1333,81.09,36,60,14.41,broken clouds,2021-06-07 04:47:22
155,Nikolskoye,RU,59.7035,30.7861,66.79,61,88,2.93,overcast clouds,2021-06-07 04:47:22
156,Walvis Bay,NA,-22.9575,14.5053,70.75,26,0,10.98,clear sky,2021-06-07 04:47:23
157,Kavieng,PG,-2.5744,150.7967,83.08,72,16,5.61,light rain,2021-06-07 04:47:23
158,Isangel,VU,-19.55,169.2667,75.31,69,75,11.45,broken clouds,2021-06-07 04:47:23
159,Padang,ID,-0.9492,100.3543,82.45,62,8,5.68,clear sky,2021-06-07 04:47:23
160,Leh,IN,34.1667,77.5833,56.86,18,0,2.64,clear sky,2021-06-07 04:47:24
161,Severnoye,RU,56.3491,78.3619,70.7,54,71,11.63,broken clouds,2021-06-07 04:47:24
162,Aklavik,CA,68.2191,-135.0107,45.32,46,10,9.28,clear sky,2021-06-07 04:47:25
163,Hami,CN,42.8,93.45,79.93,10,2,9.33,clear sky,2021-06-07 04:47:25
164,Kadoma,JP,34.7333,135.5833,87.6,50,75,8.14,broken clouds,2021-06-07 04:47:25
165,Cape Town,ZA,-33.9258,18.4232,66.61,37,0,9.6,clear sky,2021-06-07 04:43:51
166,Jamestown,US,42.097,-79.2353,70.34,79,1,9.22,clear sky,2021-06-07 04:45:16
167,Upernavik,GL,72.7868,-56.1549,34.12,81,18,6.55,few clouds,2021-06-07 04:47:26
168,Grajau,BR,-5.8194,-46.1386,71.8,76,12,0.98,few clouds,2021-06-07 04:47:26
169,Agdas,AZ,40.65,47.4761,67.87,54,30,11.56,scattered clouds,2021-06-07 04:47:27
170,Kropotkin,RU,45.4375,40.5756,60.46,82,98,10.89,overcast clouds,2021-06-07 04:47:27
171,Rypefjord,NO,70.6333,23.6667,54.07,43,0,2.3,clear sky,2021-06-07 04:47:27
172,Sarahan,IN,31.5167,77.8,72.41,48,3,6.53,clear sky,2021-06-07 04:47:27
173,Harper,LR,4.375,-7.7169,78.51,85,99,6.69,overcast clouds,2021-06-07 04:47:28
174,Den Helder,NL,52.9599,4.7593,57.18,91,19,1.99,few clouds,2021-06-07 04:47:28
175,Sept-Iles,CA,50.2001,-66.3821,47.05,88,75,3.0,broken clouds,2021-06-07 04:47:28
176,Mwinilunga,ZM,-11.7358,24.4293,48.69,89,77,4.81,broken clouds,2021-06-07 04:47:29
177,Udachnyy,RU,66.4167,112.4,43.25,76,83,26.66,light rain,2021-06-07 04:47:29
178,Tay Ninh,VN,11.3,106.1,92.35,52,99,16.8,overcast clouds,2021-06-07 04:47:29
179,San Patricio,US,28.017,-97.5169,82.89,91,5,14.23,clear sky,2021-06-07 04:47:30
180,Raga,SS,8.4596,25.678,70.81,90,100,6.85,light rain,2021-06-07 04:47:30
181,Klaksvik,FO,62.2266,-6.589,49.12,89,100,7.76,overcast clouds,2021-06-07 04:47:30
182,Georgetown,MY,5.4112,100.3354,88.9,69,20,5.01,few clouds,2021-06-07 04:46:15
183,Tiksi,RU,71.6872,128.8694,42.24,70,100,3.09,overcast clouds,2021-06-07 04:47:30
184,Sabha,LY,27.0377,14.4283,78.69,19,56,10.02,broken clouds,2021-06-07 04:47:31
185,San Cristobal,VE,7.7669,-72.225,65.39,98,100,3.4,overcast clouds,2021-06-07 04:47:31
186,Bilibino,RU,68.0546,166.4372,69.64,36,49,15.37,scattered clouds,2021-06-07 04:47:18
187,Rawson,AR,-43.3002,-65.1023,46.45,61,55,14.83,broken clouds,2021-06-07 04:47:31
188,Coihaique,CL,-45.5752,-72.0662,42.75,87,75,3.44,light rain,2021-06-07 04:47:32
189,Ulladulla,AU,-35.35,150.4667,68.88,52,95,8.97,overcast clouds,2021-06-07 04:47:32
190,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,46.99,87,75,3.15,broken clouds,2021-06-07 04:47:32
191,Skibbereen,IE,51.55,-9.2667,48.0,89,72,6.71,broken clouds,2021-06-07 04:47:33
192,Puma,TZ,-5.0,34.7333,56.95,80,7,13.29,clear sky,2021-06-07 04:47:33
193,Chazuta,PE,-6.5742,-76.1367,73.04,99,100,0.76,overcast clouds,2021-06-07 04:47:33
194,Dikson,RU,73.5069,80.5464,30.18,91,100,12.39,overcast clouds,2021-06-07 04:47:33
195,Sitka,US,57.0531,-135.33,53.49,66,75,4.61,broken clouds,2021-06-07 04:45:21
196,Jacksonville,US,30.3322,-81.6556,80.98,81,90,1.01,haze,2021-06-07 04:44:29
197,Karratha,AU,-20.7377,116.8463,82.29,34,23,18.32,few clouds,2021-06-07 04:47:34
198,Saint-Philippe,RE,-21.3585,55.7679,74.75,82,97,17.54,light rain,2021-06-07 04:47:34
199,Sechura,PE,-5.5569,-80.8222,69.03,78,100,9.42,overcast clouds,2021-06-07 04:47:35
200,Nhulunbuy,AU,-12.2333,136.7667,83.01,65,75,14.97,broken clouds,2021-06-07 04:47:35
201,Mahajanga,MG,-15.7167,46.3167,71.62,64,20,8.05,few clouds,2021-06-07 04:47:35
202,New Norfolk,AU,-42.7826,147.0587,63.91,48,100,5.01,overcast clouds,2021-06-07 04:47:36
203,Coahuayana,MX,18.7333,-103.6833,78.37,79,63,2.01,broken clouds,2021-06-07 04:45:20
204,Najran,SA,17.4924,44.1277,79.45,19,25,5.53,scattered clouds,2021-06-07 04:47:36
205,Hambantota,LK,6.1241,81.1185,88.14,74,20,17.58,few clouds,2021-06-07 04:47:36
206,Fortuna,US,40.5982,-124.1573,54.32,56,20,1.01,few clouds,2021-06-07 04:47:37
